parlamentar_id,ano,emenda_numero,status,modalidade,beneficiario_nome,localidade_beneficiada,objetivo_titulo,valor
ALEPI-15,2026,202630990523,Cancelada,Transferências com finalidade definida,SECRETARIA DE ESTADO DOS TRANSPORTES - SETRANS,Redenção do Gurguéia ,"IMPLANTAR E RECUPERAR A INFRAESTRUTURA DE TRANSPORTES NAS VIAS URBANAS DOS MUNICÍPIOS, COMPREENDENDO PAVIMENTAÇÃO ASFÁLTICA E PARALELEPÍPEDO, CONSTRUÇÃO DE PONTES, BUEIROS, PASSAGEM MOLHADAS, ELEVADOS, VIADUTOS, OBRAS D´ARTES DO RODOANEL E ANÉIS VIÁRIOS.",900000.0
ALEPI-15,2026,202630990635,Aprovada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,Sebastião Leal,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,360000.0
ALEPI-15,2026,202630990636,Aprovada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,Sebastião Leal,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,240000.0
ALEPI-15,2026,202630990637,Aprovada,Transferências com finalidade definida,SECRETARIA  DE ASSISTÊNCIA TÉCNICA E DEFESA AGROPECUÁRIA - SADA,Novo Santo Antonio,"IMPLEMENTAR AÇÕES QUE PROMOVAM A MELHORIA DAS CONDIÇÕES DE VIDA POR MEIO DA VIABILIZAÇÃO DE INFRAESTRUTURA BÁSICA, MOBILIDADE RURAL, ACESSO À ÁGUA, ENERGIAS RENOVÁVEIS, ASSIM COMO AS ESTRUTURA DE BENEFICIAMENTO DOS PRODUTOS DA AGRICULTURA FAMILIAR. ",150000.0
ALEPI-15,2026,202630990708,Aprovada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,URUÇUÍ,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,360000.0
ALEPI-15,2026,202630990709,Aprovada,Transferências especiais (Município),ENCARGOS GERAIS DO ESTADO,URUÇUÍ-PI,REGISTRO DAS EMENDAS PARLAMENTARES PREVISTAS NA EC 58/2021.,240000.0
ALEPI-15,2026,202630990739,Atualizada,Transferências com finalidade definida,FUNDO ESTADUAL DE SAÚDE - FUNSAUDE,Estado do Piauí,MELHORAR A QUALIDADE EM SAÚDE DO ESTADO DO PIAUÍ EM TODAS AS REGIÕES DE SAÚDE.,500000.0
ALEPI-15,2026,202630990754,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DOS TRANSPORTES - SETRANS,Redenção do Gurguéia,"IMPLANTAR E RECUPERAR A INFRAESTRUTURA DE TRANSPORTES NAS VIAS URBANAS DOS MUNICÍPIOS, COMPREENDENDO PAVIMENTAÇÃO ASFÁLTICA E PARALELEPÍPEDO, CONSTRUÇÃO DE PONTES, BUEIROS, PASSAGEM MOLHADAS, ELEVADOS, VIADUTOS, OBRAS D´ARTES DO RODOANEL E ANÉIS VIÁRIOS.",1300000.0
ALEPI-15,2026,202630990773,Aprovada,Transferências com finalidade definida,SECRETARIA DE INTEGRAÇÃO E DESENVOLVIMENTO REGIONAL - SIDERPI,Bonfim do Piauí ,DAR SUPORTE NO DESENVOLVIMENTO DE AÇÕES DE APOIO E INFRAESTRUTURA PARA MELHORIAS DOS MUNICÍPIOS.,500000.0
ALEPI-15,2026,202630990774,Aprovada,Transferências com finalidade definida,SECRETARIA DE ESTADO DA CULTURA DO PIAUÍ - SECULT,Teresina,"INCENTIVAR A PRODUÇÃO E DIFUSÃO DE BENS, SERVIÇOS E CONTEÚDOS CULTURAIS, BEM COMO A REALIZAÇÃO DAS ATIVIDADES DO CALENDÁRIO CULTURAL DO ESTADO.",200000.0
