ano,mes,tipo_despesa,valor_liquido,fornecedor,parlamentar_id
2025,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2025,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),20200.0,,cmt-180002533557
2024,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2024,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2023,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2022,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2022,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2022,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2022,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2022,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2022,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2022,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2022,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2022,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),25000.0,,cmt-180002533557
2022,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2022,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2022,2,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,4,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2021,3,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,12,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,11,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,10,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,9,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,8,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,7,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,6,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
2020,5,Cota para exercício parlamentar (Câmara Municipal de Teresina),18800.0,,cmt-180002533557
