parlamentar_id,ano,numero_ano,nome_proponente,nome_concedente,valor_total,objeto,situacao,tipo_termo
PI-EXEC-GOVERNADOR,2024,98/2024,ASSOCIAÇÃO BRASILEIRA DE PESQUISA E TRATAMENTO MULTIDISCIPLINARES DA PARALISIA CEREBRAL - INSTITUTO RIZO MOVEMENT,SECRETARIA  DE ESTADO PARA INCLUSÃO DA PESSOA  COM DEFICIÊNCIA - SEID,200000.0,"Execução do Projeto Autocuidado e as Interfaces Protetivas, cujo objetivo é proporcionar às mulheres/cuidadoras experiência e compreensão de como enfrentar os desafios cotidianos , através de rodas de conversas e oficinas estratégias.",,Fomento
PI-EXEC-GOVERNADOR,2024,97/2024,CENTRO DE FORMAÇÃO EDUCACIONAL PARA CONVIVÊNCIA COM O SEMIÁRIDO - CEFESA,SECRETARIA  DE ASSISTÊNCIA TÉCNICA E DEFESA AGROPECUÁRIA - SADA,385205.31,"TEM POR OBJETO A CELEBRAÇÃO EM REGIGME DE MÚTUA COLABORAÇÃO, PARA A CONSECUÇÃO DE FINALIDADES DE INTERESSE PÚBLICO E RECÍPROCO, MEDIANTE A EXECUÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS PREVISTOS NO CONVÊNIO MDR/EMATER Nº 7805/2012 - PROGRAMA ÁGUA DOCE, NO QUE TANGE A ANÁLISE DE ÁGUA E SOLOS, ATIVIDADES GERAIS DE ESCRITÓRIO E CAPACITAÇÃO DE OPERADORES DOS SISTEMAS DE DESSANILIZAÇÃO, CONFORME CONDIÇÕES FIXADAS NO TERMO E NO PLANO DE TRABALHO.",,Colaboração
PI-EXEC-GOVERNADOR,2024,96/2024,ASSOCIAÇÃO PIAUIENSE DE PROTEÇÃO E AMOR AOS ANIMAIS - APIPA ,SECRETARIA DE ESTADO DO  MEIO AMBIENTE E RECURSOS HÍDRICOS - SEMARH,200000.0,"Apoio financeiro para aquisição de equipamentos, medicamentos e recursos para serviços veterinários abrigados e alimentados pela APIPA - Associação Piauiense de Proteção e Amor aos Animais.",,Fomento
PI-EXEC-GOVERNADOR,2024,95/2024,UNIAO BRASILEIRA DE MULHERES - UBM - SECAO PIAUI,"SECRETARIA DE ESTADO DA ASSISTÊNCIA SOCIAL, TRABALHO E DIREITOS HUMANOS - SASC",76888.0,"Formar e capacitar 50 mulheres, oriundas de diversas regiões da cidade de Teresina, oferecendo a elas conhecimentos técnicos para a confecção e comercialização de calcinhas absorventes e absorventes ecológicos, além de doar parte da produção para mulheres e meninas em situação de vulnerabilidade a serem identificadas pelas entidades parceiras e pela SASC.",,Colaboração
PI-EXEC-GOVERNADOR,2024,94/2024,INSTITUTO DE DESENVOLVIMENTO DO NORDESTE (IDENE),SECRETARIA DE ESTADO DA SAÚDE DO PIAUÍ - SESAPI,326000.0,"Realizar atendimento pediátrico para crianças de 1 a 12 anos no município de Campo Maior, Estado do Piauí.",,Fomento
PI-EXEC-GOVERNADOR,2024,93/2024,FUNDAÇÃO DR. ROOSEVELT BASTOS,"SECRETARIA DE ESTADO DA ASSISTÊNCIA SOCIAL, TRABALHO E DIREITOS HUMANOS - SASC",80000.0,"O projeto propõe a realização de desenvolvimento e estimulo das habilidades de 200 (duzentas) mulheres empreendedoras, além de divulgar as pequenas produções de grupos e associações locais. O supracitado projeto será realizado por meio de aquisição de materiais de consumo, contratação de serviços de terceirospessoa jurídica, bem como a contratação de serviços de terceiro-pessoa física,",,Fomento
PI-EXEC-GOVERNADOR,2024,92/2024,COOPERATIVA MISTA DOS APICULTORES DA MICRORREGIÃO DE SIMPLÍCIO MENDES - COMAPI,SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR - SAF,101000.0,Apoio financeiro para ampliação de capacidade de processamento de mel na microrregião de Simplício Mendes - PI.,,Fomento
PI-EXEC-GOVERNADOR,2024,3/2024,PREFEITURA MUNICIPAL DE LAGOINHA DO PIAUÍ,SECRETARIA DE ESTADO DA EDUCAÇÃO -SEDUC,896842.05,"O presente Convênio tem por objeto CONSTRUÇÃO DE RESIDUAL DE UMA QUADRA COBERTA COM VESTUÁRIO NA ZONA URBANA DO MUNICÍPIO, de acordo com o Plano de Trabalho devidamente aprovado.",Termo em elaboração,
PI-EXEC-GOVERNADOR,2024,91/2024,INSTITUTO DE GESTÃO E DESENVOLVIMENTO SOCIAL - IGDS,SECRETARIA DE ESTADO  DOS ESPORTES - SECEPI,2255606.0,Execução dos Jogos escolares 2024,,Colaboração
PI-EXEC-GOVERNADOR,2024,90/2024,CENTRO DE REINTEGRAÇÃO FAMILIAR E INCENTIVO À ADOÇÃO - CRIA ,"SECRETARIA DE ESTADO DA ASSISTÊNCIA SOCIAL, TRABALHO E DIREITOS HUMANOS - SASC",456000.0,"Implantação do serviço de acolhimento familiar no Território de Desenvolvimento (TD) Carnaubais, durante o período de 12 meses, prevendo o pagamento de pessoal, o pagamento das Bolsas-Auxílio por criança/adolescente para cada Família Acolhedora e a aquisição dos materiais de consumo e de serviços de pessoa jurídica necessários à realização das metas previstas",,Colaboração
